002719724-0001,2015-06-16,Urząd Harmonizacji Rynku Wewnętrznego,WZÓR PRZEMYSŁOWY ETYKIETA (NAWÓZ Z BIOGAZOWNI),Wzór przemysłowy,TOMASZ GRABOWSKI/MICHAŁ SZCZEPAŃSKI,Centrum Innowacji STB sp. z o.o. sp. k.
002719740-0001,2015-06-16,Urząd Harmonizacji Rynku Wewnętrznego,WZÓR PRZEMYSŁOWY - ETYKIETA (EKO PELLET),Wzór przemysłowy,MICHAŁ SZCZEPAŃSKI/TOMASZ GRABOWSKI,Centrum Innowacji STB sp. z o.o. sp. k.
003358530,2016-08-31,Urząd Harmonizacji Rynku Wewnętrznego,Ława ogrodowa,Wzór przemysłowy,Aleksandra Agnieszka Nowysz,Politechnika Wrocławska; Wydział Architektury
003358597,2016-08-31,Polska,Mebel miejski,Wzór przemysłowy,Aleksandra Agnieszka Nowysz,Politechnika Wrocławska; Wydział Architektury
22103,2015-08-10,Polska,Stelaż do montażu kolektora słonecznego,Wzór przemysłowy,Daniel Wilczewski/Zenon Włodzimierz Syroka,Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Nauk Technicznych
22429,2016-07-29,Polska,Liniowy siłownik elektryczny,Wzór przemysłowy,Olaf Franciszek Dudek/Arkadiusz Mężyk/Tomasz Machoczek,Politechnika Śląska; Wydział Mechaniczny Technologiczny; Instytut Mechaniki Teoretycznej i Stosowanej
22807,2016-06-03,Polska,Anteny szerokopasmowe,Wzór przemysłowy,Konrad Markiewicz/Zenon Włodzimierz Syroka,Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Nauk Technicznych
No 002513564-0001,2014-08-01,Urząd Harmonizacji Rynku Wewnętrznego,Króciec do łączenia różnych typów instalacji mieszanki tlenowej lotniczego sprzętu wysokościowo-ratowniczego,Wzór przemysłowy,Marcin Antoni Piotrowski/Mirosław Dereń,Wojskowy Instytut Medycyny Lotniczej
001736216-0001,2010-07-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek bezkolbowy,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001736216-0002,2010-07-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek kolbowy,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001772328-0001,2010-10-25,Polska,Karabinek-granatnik kolbowy,Wzór przemysłowy,Andrzej Arczewski/Adam Garon/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001772328-0002,2010-10-25,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek-granatnik bezkolbowy,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001772351-0001,2010-10-25,Urząd Harmonizacji Rynku Wewnętrznego,Granatnik samodzielny,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001772351-0002,2010-10-25,Urząd Harmonizacji Rynku Wewnętrznego,Granatnik podwieszany,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
001857129-001,2011-05-16,Urząd Harmonizacji Rynku Wewnętrznego,Graficzny interfejs użytkownika,Wzór przemysłowy,Sławomir Gryś/Waldemar Minkina,Politechnika Częstochowska; Wydział Elektryczny; Instytut Optoelektroniki i Systemów Pomiarowych
001923673-0001,2012-01-10,Światowa Organizacja Własności Intelektualnej,Pojazd szynowy,Wzór przemysłowy,Bartosz Rafał Piotrowski,Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Inżynierii Mechanicznej/Pojazdy Szynowe PESA Bydgoszcz SA
002065714-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Pistolet,Wzór przemysłowy,Andrzej Arczewski/Tomasz Płatos/Andrzej Wróblewski/Piotr Dygas/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065797-0001,2012-06-29,Polska,Zamek do broni palnej wersja 0001,Wzór przemysłowy,Tomasz Płatos/Piotr Dygas/Andrzej Arczewski/Andrzej Wróblewski/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065797-0002,2012-06-29,Polska,Zamek do broni palnej wersja 0002,Wzór przemysłowy,Andrzej Arczewski/Piotr Dygas/Andrzej Wróblewski/Tomasz Płatos/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065797-0003,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Zamek do broni palnej wersja 0003,Wzór przemysłowy,Andrzej Arczewski/Piotr Dygas/Andrzej Wróblewski/Tomasz Płatos/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065920-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Bagnet,Wzór przemysłowy,Andrzej Arczewski/Mariusz Zawisza/Paweł Madej/Adam Gawron/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065938-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Pochwa na broń,Wzór przemysłowy,Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065946-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Przyłącze pochwy na bagnet,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Mariusz Zawisza/Paweł Madej/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002078303-0001,2012-07-24,Urząd Harmonizacji Rynku Wewnętrznego,"7,62 mm karabin maszynowy UKM-2013P",Wzór przemysłowy,Tadeusz Świętek/Paweł Typer/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002078329-0001,2012-07-24,Urząd Harmonizacji Rynku Wewnętrznego,"12,7 mm wielkokalibrowy karabin maszynowy WKM-B-2013",Wzór przemysłowy,Tadeusz Świętek/Paweł Typer/Jakub Aleksander Michalski/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002085472-0001,2012-08-14,Urząd Harmonizacji Rynku Wewnętrznego,Implant medyczny,Wzór przemysłowy,Marcin Karol Kozakiewicz,Uniwersytet Medyczny w Łodzi; Wydział Wojskowo-Lekarski
002112250,2012-10-11,Urząd Harmonizacji Rynku Wewnętrznego,Komulmna głośnikowa,Wzór przemysłowy,Zygmunt Wróbel/Robert Koprowski,Uniwersytet Śląski w Katowicach; Wydział Informatyki i Nauki o Materiałach
002173419-0001,2013-02-05,Światowa Organizacja Własności Intelektualnej,Pojazd szynowy,Wzór przemysłowy,Bartosz Rafał Piotrowski,Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Inżynierii Mechanicznej/Pojazdy Szynowe PESA Bydgoszcz SA
002206243,2013-03-21,Polska,Przystań pływająca,Wzór przemysłowy,ANDRZEJ PONIEWIERKA,Politechnika Wrocławska; Wydział Architektury
002206243,2013-03-21,Urząd Harmonizacji Rynku Wewnętrznego,Przystań pływająca,Wzór przemysłowy,ANDRZEJ PONIEWIERKA,Politechnika Wrocławska; Wydział Architektury
002208199,2013-04-03,Urząd Harmonizacji Rynku Wewnętrznego,Kamizelka,Wzór przemysłowy,MICHAŁ SZCZĘSNY PELCZARSKI,Politechnika Wrocławska; Wydział Architektury
002215608-0001,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0002,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0003,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0004,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0005,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0006,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0007,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
