....,2016-12-14,Polska,Sposób wytwarzania napoju z serwatki naturalnie nasyconego dwutlenkiem węgla,Wynalazek,Agata Marta Znamirowska,Uniwersytet Rzeszowski; Wydział Biologiczno-Rolniczy
?,2012-12-21,Polska,Sposób zwiększania ciężaru cząsteczkowego poli(węglanu trimetylenu),Wynalazek,Sameer P. Nalawade/Joanna Jóźwiakowska/Dirk W. Grijpman/Jan Feijen/Radosław Aleksander Wach/Piotr Krzysztof Ulański/Janusz Marian Rosiak,Politechnika Łódzka; Wydział Chemiczny
216421,2014-04-30,Polska,"Reduktor ciśnienia gazu, zwłaszcza do systemów zasilania silników spalinowych",Wynalazek,Mirosław Tadeusz Wendeker/Michał Biały/Jacek Andrzej Czarnigowski/Rafał Tomasz Sochaczewski/Marcin Szlachetka,"Politechnika Lubelska; Wydział Mechaniczny; Katedra Termodynamiki, Mechaniki Płynów i Napędów Lotniczych/Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych"
EP 2255002,2014-03-06,Europejski Urząd Patentowy,"METHOD TO INHIBIT RIBONUCLEASE DICER, RIBONUCLEASE DICER INHIBITOR, AND USE OF RNA APTAMERS AS RIBONUCLEASE DICER INHIBITORS  ",Wynalazek,Aleksandra Szopa/Anna Kietrys/Tomasz Jan Twardowski/Agata Anna Tyczewska/Marek Figlerowicz,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk
"US/7,923,578 B2",2011-04-12,Stany Zjednoczone,"Method of Manufacturing 3-(4-Hydroxyphenyl)Propanoic Acid Amide, Its Application in the Manufacture of Anti-Aging Compositions and Anti-Aging Composition",Wynalazek,Leszek Rychlewski/Lech Celewicz/Kazimierz Ciszewski/Eliza Wyszko/Jan Barciszewski/Katarzyna Monika Rolle,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk
002719724-0001,2015-06-16,Urząd Harmonizacji Rynku Wewnętrznego,WZÓR PRZEMYSŁOWY ETYKIETA (NAWÓZ Z BIOGAZOWNI),Wzór przemysłowy,TOMASZ GRABOWSKI/MICHAŁ SZCZEPAŃSKI,Centrum Innowacji STB sp. z o.o. sp. k.
002719740-0001,2015-06-16,Urząd Harmonizacji Rynku Wewnętrznego,WZÓR PRZEMYSŁOWY - ETYKIETA (EKO PELLET),Wzór przemysłowy,MICHAŁ SZCZEPAŃSKI/TOMASZ GRABOWSKI,Centrum Innowacji STB sp. z o.o. sp. k.
003358530,2016-08-31,Urząd Harmonizacji Rynku Wewnętrznego,Ława ogrodowa,Wzór przemysłowy,Aleksandra Agnieszka Nowysz,Politechnika Wrocławska; Wydział Architektury
003358597,2016-08-31,Polska,Mebel miejski,Wzór przemysłowy,Aleksandra Agnieszka Nowysz,Politechnika Wrocławska; Wydział Architektury
014001044,2015-09-09,Europejski Urząd Patentowy,CERTIX,Znak towarowy,Beata Helena Altkorn,Instytut Nafty i Gazu - Państwowy Instytut Badawczy
105144,2016-10-03,Ukraina,"UAV ""Latające skrzydło""",Wzór użytkowy,Yurii Sviashchenko/Viacheslav Korcheniuk/Oleksandr Tymoshenko/Volodymyr Kharchenko,Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu; Wydział Logistyki i Transportu/National Aviation University
208573,2010-12-23,Polska,"Układ sterowania elektromechanizmem, zwłaszcza elektromechanizmem zaworu",Wynalazek,Karol Szot/Paweł Zagniński/Robert Kazała/Mirosław Wciślik,"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
210211,2011-12-30,Polska,Nowe zastosowanie undekan-2-olu,Wynalazek,Marek Gliński/Julia Józefa Gibka/Alina Janina Kunicka-Styczyńska,Politechnika Łódzka; Wydział Biotechnologii i Nauk o Żywności
212385,2012-04-03,Polska,Sposób oziębiania produktów o niskiej wartości współczynnika wyrównywania temperatury,Wynalazek,Krzysztof BANASIAK/Joachim KOZIOŁ/Wieslaw GAZDA,Politechnika Śląska; Wydział Inżynierii Środowiska i Energetyki; Instytut Techniki Cieplnej
213525,2013-03-29,Polska,Sposób wytwarzania termicznego czujnika przepływu i czujnik do pomiaru kierunku i/lub wartości przepływu medium,Wynalazek,DOMINIK JURKÓW/LESZEK JAN GOLONKA,Politechnika Wrocławska; Wydział Elektroniki Mikrosystemów i Fotoniki
213836,2012-09-06,Polska,"Pneumatyczny, proporcjonalny zawór rozdzielający",Wynalazek,Sławomir Błasiak/Jakub Emanuel Takosoglu/Paweł Andrzej Łaski,Politechnika Świętokrzyska; Wydział Mechatroniki i Budowy Maszyn
215053,2013-10-31,Polska,Kompozyt tworzyw polietylenowych,Wynalazek,Marcin Romanowski/Jacek Kosno/Anna Wojtala,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
215730,2014-01-31,Polska,Sposób wytwarzania dichloropropanoli,Wynalazek,Robert Szczepaniak/Sylwester Krzyżanowski/Piotr Semrau/Grzegorzi Kiełkowski/Marek Koziel/Tadeusz Koziel/Eryk Remiezowicz/Ryszard Sarnowski/Lech Ruczyński/Marcin Goździkiewicz/Marian Spadło/Andrzej Brzezicki/Damian Kiełkiewicz/Lech Iwański,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
216554,2014-04-30,Polska,Sposób wytwarzania stałego bisfenolu F,Wynalazek,Bronisław Kałędkowski/Wojciech Balcerowiak/Jerzy Jan Jasienkiewicz/Stanisław Matyja/Teresa Rdesińska-Ćwik/Renata Fiszer/Alina Iwanejko/Sławomir Napiórkowski/Bogusław Tkacz/Magdalena Zarębska,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
216716,2013-06-24,Polska,Nowe zastosowanie homogenatu z komórek macierzystych wyprowadzanych z rosnącego poroża jeleniowatych (Cervidae),Wynalazek,Marek Andrzej Cegielski/Marek Maria Bochnia/Wojciech Jeremi Dziewiszek,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu; Wydział Lekarski/Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu; Wydział Lekarsko-Stomatologiczny/Stem Cells Spin Spółka Akcyjna
217069,2014-06-30,Polska,Sposób dwupaliwowego zasolania bezpośrednim wtryskiem sprężonego gazu ziemnego do silników o zapłonie samoczynym,Wynalazek,Michał Biały/Mirosław Tadeusz Wendeker/Rafał Tomasz Sochaczewski,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
217376,2014-07-31,Polska,Obrabiarka do mikroskrawania albo wygładzania ściernego w komorze próżniowej,Wynalazek,Ryszard Ignacy Ściegienka/Ryszard Józef Lewkowicz/Wojciech Kacalak/Stanisław Bokiej,Politechnika Koszalińska; Wydział Mechaniczny
217413,2014-07-31,Polska,Sposób otrzymywania estrów metylowych z surowych olejów roślinnych,Wynalazek,Marek Warzała/Hanna Nosal/Renata Fiszer,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
218361,2014-11-28,Polska,Pompa odśrodkowa.,Wynalazek,Tomasz Synowiec/Andrzej KORCZAK,Politechnika Śląska; Wydział Inżynierii Środowiska i Energetyki; Instytut Maszyn i Urządzeń Energetycznych
218394,2014-11-28,Polska,Mikroemulsyjny koncentrat emulgujący,Wynalazek,Halina Barbara Mitka/Bronisław Robert Dejnega,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
218510,2014-12-31,Polska,Sposób otrzymywania żywicy rezolowej do materialów ściernych PF127,Technologia,Edward Jasiński/Halina Goliszeska/Danuta Kania/Janina Gil/Bronisław Kałędkowski/Bolesław Łoziński/Mariusz Szemień/Janina Fila/Magdalena Dagmara Cygan/Grażyna Bieniek,Instytut Ciężkiej Syntezy Organicznej BLACHOWNIA
218614,2015-01-30,Polska,Wyroby nanokompozytowe chemii motoryzacyjnej i chemii gospodarczej,Wynalazek,Włodzimierz Muskalski/Roman Zarzycki/Sylwester Szymalak/Barbara Siutowicz/Grzegorz Wielgosiński/Zofia Modrzejewska,Politechnika Łódzka; Wydział Inżynierii Procesowej i Ochrony Środowiska/ORGANIKA-CAR S.A.
218668,2014-06-03,Polska,Układ do łagodnego rozruchu maszyn elektrycznych prądu przemiennego,Wynalazek,Jan Staszak/Krzysztof Antoni Ludwinek/Roman Bogdan Nadolski,"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
218939,2014-06-03,Polska,"Uchwyt do mocowania kości, zwłaszcza skroniowej",Wynalazek,Aleksandra Skrzypek/Krzysztof Skiba/Edward Wiczkowski/Tomasz Kręcicki/Marcin Frączek,Politechnika Wrocławska; Wydział Mechaniczny
219744,2015-07-31,Polska,Sposób wodorowego wspomagania spalania w tłokowym silniku spalinowym,Wynalazek,Mirosław Tadeusz Wendeker/Marcin Szlachetka,Politechnika Lubelska/Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
219745,2015-07-31,Polska,Sposób ograniczania zadymienia spalin w silniku o zapłonie samoczynnym,Wynalazek,Mirosław Tadeusz Wendeker,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
220049,2014-11-21,Polska,"Układ identyfikacji w czasie rzeczywistym właściwości dynamicznych, zwłaszcza osprzętu roboczego koparki",Wynalazek,Leszek Cedro,Politechnika Świętokrzyska; Wydział Mechatroniki i Budowy Maszyn
22103,2015-08-10,Polska,Stelaż do montażu kolektora słonecznego,Wzór przemysłowy,Daniel Wilczewski/Zenon Włodzimierz Syroka,Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Nauk Technicznych
221607,2015-09-24,Polska,Czołowe uszczelnienie impulsowe z układem regulacji,Wynalazek,Czesław Kundera,Politechnika Świętokrzyska; Wydział Mechatroniki i Budowy Maszyn
2216358,2016-05-31,Polska,"Urządzenie wyporowe z intensywną wymianą ciepła, zwłaszcza do maszyn cieplnych",Wynalazek,Mirosław Tadeusz Wendeker,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
222 097,2016-06-30,Polska,Sposób zgrzewania obręczy kół tarczowych.,Wynalazek,Rafał Burdzik,Politechnika Śląska; Wydział Transportu/POLKAR WARMIA SP Z O O
222125,2016-06-30,Polska,"Dyfuzor, zwłaszcza do turbiny wiatrowej",Wynalazek,Mirosław Tadeusz Wendeker,Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych
222173,2015-11-25,Polska,Urządzenie elektromagnetyczne do tłumienia drgań mechanicznych,Wynalazek,Jarosław Adam Rolek/Józef Łastowiecki,"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
